GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
billing-service,com.billingservice.entity,Subscription,15,31,0,0,1,6,1,9,1,9
billing-service,com.billingservice.entity,Pack,12,31,0,0,5,7,1,9,1,9
billing-service,com.billingservice.entity,BillingCycle,9,16,0,0,1,7,1,4,1,4
billing-service,com.billingservice,BillingServiceApplication,5,3,0,0,2,1,1,1,1,1
billing-service,com.billingservice.config,BasicConfiguration,0,119,0,0,0,20,0,10,0,10
billing-service,com.billingservice.config,RsaKeyProperties,15,0,0,0,2,0,3,0,3,0
billing-service,com.billingservice.exceptionhandler,GlobalExceptionHandler,26,3,0,0,5,1,5,1,5,1
billing-service,com.billingservice.exception,PackNotFoundException,0,4,0,0,0,2,0,1,0,1
billing-service,com.billingservice.exception,DuplicateSubscriptionException,9,0,0,0,4,0,2,0,2,0
billing-service,com.billingservice.exception,SubscriptionNotFoundException,4,0,0,0,2,0,1,0,1,0
billing-service,com.billingservice.service,BillingCycleService,0,20,0,0,0,6,0,3,0,3
billing-service,com.billingservice.service,SubscriptionService,171,45,4,2,35,12,12,4,9,4
billing-service,com.billingservice.service,PackService,27,39,0,0,4,7,1,7,1,7
billing-service,com.billingservice.service,BillingScheduler,0,48,0,2,0,11,0,3,0,2
billing-service,com.billingservice.service,JwtService,42,3,2,0,10,1,2,1,1,1
billing-service,com.billingservice.controller,BillingController,61,29,0,0,13,7,5,5,5,5
billing-service,com.billingservice.DTO,UserSubscriptionDTO,9,17,0,0,1,4,1,5,1,5
billing-service,com.billingservice.DTO,FamilySubscriptionDTO,12,24,0,0,1,5,1,7,1,7
