GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
invoice-service,com.invoiceservice.service,InvoiceService,18,124,0,6,2,28,1,8,1,5
invoice-service,com.invoiceservice.service,EmailService,75,3,2,0,18,1,3,1,2,1
invoice-service,com.invoiceservice,InvoiceServiceApplication,5,3,0,0,2,1,1,1,1,1
invoice-service,com.invoiceservice.DTO,UserSubscriptionDTO,9,17,0,0,1,4,1,5,1,5
invoice-service,com.invoiceservice.DTO,PackDTO,15,31,0,0,1,6,1,9,1,9
invoice-service,com.invoiceservice.DTO,FamilySubscriptionDTO,12,24,0,0,1,5,1,7,1,7
invoice-service,com.invoiceservice.exception,InvoiceNotFoundException,0,4,0,0,0,2,0,1,0,1
invoice-service,com.invoiceservice.exceptionhandler,GlobalExceptionHandler,0,13,0,0,0,3,0,3,0,3
invoice-service,com.invoiceservice.entity,Invoice,28,51,0,0,3,22,2,14,2,14
invoice-service,com.invoiceservice.entity,UserSubscriptionRecord,0,42,0,0,0,17,0,12,0,12
invoice-service,com.invoiceservice.enums,PaymentStatus,0,15,0,0,0,3,0,1,0,1
invoice-service,com.invoiceservice.controller,InvoiceController,20,23,0,0,5,5,2,4,2,4
