GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-management,com.usermanagement.controller,FamilyAccountController,46,69,0,0,9,17,4,9,4,9
user-management,com.usermanagement.controller,APIAuthController,78,3,0,0,21,1,3,1,3,1
user-management,com.usermanagement.entity,User,38,21,0,0,6,4,11,6,11,6
user-management,com.usermanagement.entity,FamilyAccount,17,17,0,0,3,5,5,4,5,4
user-management,com.usermanagement.entity,OTP,32,30,0,0,5,13,9,4,9,4
user-management,com.usermanagement.entity,DeactivationRequest,16,10,0,0,2,3,3,3,3,3
user-management,com.usermanagement.service,DeactivationRequestService,24,63,0,2,5,14,4,4,4,3
user-management,com.usermanagement.service,CustomUserDetailsService,15,7,0,0,6,3,1,2,1,2
user-management,com.usermanagement.service,UserService,127,17,12,0,26,6,9,1,3,1
user-management,com.usermanagement.service,FamilyAccountService,344,169,14,10,70,38,26,12,18,8
user-management,com.usermanagement.service,OtpService,172,3,2,0,34,1,13,1,12,1
user-management,com.usermanagement.service,JwtService,5,40,1,1,1,10,1,2,0,2
user-management,com.usermanagement.dto,LoginBody,9,17,0,0,1,4,1,5,1,5
user-management,com.usermanagement.dto,TokenDTO,0,19,0,0,0,9,0,4,0,4
user-management,com.usermanagement.dto,SubscriptionDTO,15,31,0,0,1,6,1,9,1,9
user-management,com.usermanagement.dto,UserDTO,21,45,0,0,1,8,1,13,1,13
user-management,com.usermanagement.dto,FamilyAccountDetailsDTO,18,38,0,0,1,16,1,11,1,11
user-management,com.usermanagement.dto,UserSubscriptionDetailsDTO,18,38,0,0,1,7,1,11,1,11
user-management,com.usermanagement.dto,PackDTO,15,31,0,0,1,6,1,9,1,9
user-management,com.usermanagement.dto,UserRegistrationDTO,0,52,0,0,0,9,0,15,0,15
user-management,com.usermanagement.configuration,BasicConfiguration,0,143,0,0,0,24,0,13,0,13
user-management,com.usermanagement.mapper,UserMapper,20,0,0,0,4,0,4,0,4,0
user-management,com.usermanagement.enums,FamilyAccountStatus,0,27,0,0,0,5,0,1,0,1
user-management,com.usermanagement.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
user-management,com.usermanagement.exception,OTPValidationFailedException,13,0,0,0,6,0,3,0,3,0
user-management,com.usermanagement.exception,OTPNotFoundException,4,0,0,0,2,0,1,0,1,0
user-management,com.usermanagement.exception,FamilyAccountNotFoundException,4,0,0,0,2,0,1,0,1,0
user-management,com.usermanagement.exception,EmailNotFoundException,4,0,0,0,2,0,1,0,1,0
user-management,com.usermanagement.exception,FamilyAccountAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
user-management,com.usermanagement.exception,ActiveFamilyAccountNotFoundException,4,0,0,0,2,0,1,0,1,0
user-management,com.usermanagement.exception,AlreadyMemberOfAnotherFamilyAccountException,0,4,0,0,0,2,0,1,0,1
user-management,com.usermanagement.exceptionhandler,GlobalExceptionHandler,47,3,0,0,9,1,9,1,9,1
user-management,com.usermanagement,UserManagementApplication,5,3,0,0,2,1,1,1,1,1
